ss,year,stdsdoy
AM:401:CT,2013,NA
AM:401:NE,2013,NA
AM:401:NW,2013,NA
AM:401:SE,2013,NA
AM:401:SW,2013,NA
AM:403:CT,2013,NA
AM:403:NE,2013,NA
AM:403:NW,2013,NA
AM:403:SE,2013,NA
AM:403:SW,2013,NA
AM:412:CT,2013,NA
AM:412:NW,2013,NA
AM:412:SW,2013,NA
AM:414:CT,2013,NA
AM:414:NE,2013,NA
AM:414:NW,2013,NA
AM:414:SE,2013,NA
AM:414:SW,2013,NA
AM:420:CT,2013,NA
AM:420:NE,2013,NA
AM:420:NW,2013,NA
AM:420:SE,2013,NA
AM:420:SW,2013,NA
AM:422:CT,2013,NA
AM:423:CT,2013,NA
AM:423:NE,2013,NA
AM:423:NW,2013,NA
AM:423:SE,2013,NA
AM:423:SW,2013,NA
AM:424:CT,2013,NA
AM:424:NE,2013,NA
AM:424:NW,2013,NA
AM:424:SE,2013,NA
AM:424:SW,2013,NA
AM:425:CT,2013,NA
AM:425:NE,2013,NA
AM:425:NW,2013,NA
AM:425:SE,2013,NA
AM:425:SW,2013,NA
AM:426:CT,2013,NA
AM:426:NE,2013,NA
AM:426:NW,2013,NA
AM:426:SE,2013,NA
AM:426:SW,2013,NA
AM:427:CT,2013,NA
AM:427:NE,2013,NA
AM:427:NW,2013,NA
AM:427:SE,2013,NA
AM:427:SW,2013,NA
AM:429:CT,2013,NA
AM:429:NE,2013,NA
AM:429:NW,2013,NA
AM:429:SE,2013,NA
AM:429:SW,2013,NA
AM:433:CT,2013,NA
AM:433:NE,2013,NA
AM:433:NW,2013,NA
AM:433:SE,2013,NA
AM:433:SW,2013,NA
AM:441:CT,2013,NA
AM:441:NE,2013,NA
AM:441:NW,2013,NA
AM:441:SE,2013,NA
AM:441:SW,2013,NA
AM:442:CT,2013,NA
AM:442:NE,2013,NA
AM:442:NW,2013,NA
AM:442:SE,2013,NA
AM:442:SW,2013,NA
RS:26:N,2013,NA
RS:26:P,2013,NA
RS:26:Q,2013,NA
RS:26:R,2013,NA
RS:26:T,2013,NA
RS:26:U,2013,NA
RS:26:V,2013,NA
RS:26:W,2013,NA
RS:27:B,2013,NA
RS:27:E,2013,NA
RS:27:F,2013,NA
RS:27:G,2013,NA
RS:27:H,2013,NA
RS:27:I,2013,NA
RS:27:J,2013,NA
Y:200@1:CT,2013,-0.72826500000000005
Y:200@1:NE,2013,-0.46257540000000003
Y:200@1:NW,2013,-0.72826500000000005
Y:200@1:SE,2013,-0.72826500000000005
Y:200@1:SW,2013,-0.72826500000000005
Y:201@1:CT,2013,0.60018329999999998
Y:201@1:NE,2013,0.60018329999999998
Y:201@1:NW,2013,0.60018329999999998
Y:201@1:SW,2013,0.60018329999999998
Y:207@1:A,2013,NA
Y:207@1:B,2013,NA
Y:207@1:C,2013,NA
Y:207@1:D,2013,NA
Y:207@1:E,2013,NA
Y:214@4:CT,2013,-0.79468740000000004
Y:214@4:NE,2013,-0.46257540000000003
Y:214@4:NW,2013,-0.79468740000000004
Y:214@4:SE,2013,-0.46257540000000003
Y:214@4:SW,2013,-0.79468740000000004
Y:216@5:CT,2013,-0.46257540000000003
Y:216@5:NE,2013,-0.46257540000000003
Y:216@5:NW,2013,-0.46257540000000003
Y:216@5:SE,2013,-0.46257540000000003
Y:216@5:SW,2013,-0.46257540000000003
Y:217@5:CT,2013,1.3972519999999999
Y:217@5:NE,2013,1.33083
Y:217@5:NW,2013,1.3972519999999999
Y:217@5:SE,2013,1.1315630000000001
Y:217@5:SW,2013,1.3972519999999999
Y:218@5:CT,2013,0.46733849999999999
Y:218@5:NE,2013,0.46733849999999999
Y:218@5:NW,2013,0.46733849999999999
Y:218@5:SE,2013,0.46733849999999999
Y:218@5:SW,2013,0.46733849999999999
Y:223@6:CT,2013,-0.39615289999999997
Y:223@6:NE,2013,-0.39615289999999997
Y:223@6:NW,2013,-0.39615289999999997
Y:223@6:SE,2013,NA
